label	group	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs
0.03	DA0780	0.09112	0.086815	0.095426	10.974491	10.479332	11.518764	2.917495	2.879053	2.955937	2.925011	61	61.375	61.027681	66.080142	4220
0.03	DA0793	0.201332	0.195975	0.206688	4.966925	4.838205	5.102682	2.14485	2.123821	2.165878	2.147979	42	42.75	42.077835	49.226811	14015
0.03	DA0804	0.17131	0.166371	0.176249	5.837361	5.673786	6.010646	2.326937	2.299333	2.354541	2.333998	76	77.75	76.290046	86.558671	10275
0.03	DA0806	0.262637	0.259239	0.266035	3.807538	3.758908	3.857443	1.566942	1.550765	1.583119	1.569049	25	25.6	25.050626	32.11091	13813
0.03	DA0810	0.121955	0.117246	0.126664	8.199741	7.894915	8.529052	3.246674	3.214918	3.27843	3.256635	181	189.5	183.643033	208.33602	13141
0.03	DA0812	0.244807	0.238168	0.251446	4.084852	3.976997	4.19872	2.523938	2.495451	2.552425	2.530367	131	134.882353	131.948309	146.89426	18046
0.03	DA0820	0.346106	0.342313	0.349898	2.889292	2.857973	2.921305	1.279647	1.265696	1.293598	1.281524	25	25.5	25.040234	31.213644	17963
0.03	DA0845	0.191962	0.187746	0.196178	5.209355	5.097402	5.326336	1.983362	1.964298	2.002426	1.985618	28	28.142857	28.006302	31.238251	11549
0.03	DA0850	0.561443	0.553916	0.56897	1.781124	1.757561	1.805327	0.798903	0.781081	0.816725	0.802177	29	31.5	29.368021	45.982713	13077
0.03	DA0861	0.136143	0.133646	0.138641	7.345205	7.212887	7.482469	2.546178	2.529219	2.563138	2.548484	68	83	71.502488	132.24005	24355
0.03	DA0864	0.173773	0.168313	0.179233	5.754645	5.579343	5.94132	2.101071	2.070498	2.131644	2.10767	35	35.857143	35.092143	42.973392	5154
0.03	DA0904	0.130945	0.128639	0.133251	7.636796	7.504626	7.773705	2.320917	2.306115	2.335718	2.32409	52	53.666667	52.254726	62.904971	17793
0.03	DA0908	0.853415	0.846041	0.86079	1.171762	1.161723	1.181976	0.42488	0.405807	0.443953	0.427018	27	29	27.249903	43.006186	16329
0.03	DA0918	0.455562	0.446581	0.464544	2.19509	2.15265	2.239236	1.143465	1.12518	1.161751	1.14478	16	16	16	16	13042
0.03	DA0926	0.145818	0.142993	0.148644	6.857846	6.727502	6.99334	2.43897	2.420727	2.457213	2.442041	67	74.2	68.60153	99.369051	20156
0.03	DA0933	0.011677	0.010967	0.012387	85.638164	80.726838	91.185801	4.604571	4.569901	4.63924	4.632459	134	134.9375	134.122783	141.158184	1651
0.03	DA0933_R	0.004804	0.004495	0.005113	208.160315	195.585744	222.462865	5.761786	5.733267	5.790305	5.81199	493	498.909091	495.027016	510.225993	4637
0.03	DA0939	0.141018	0.136522	0.145515	7.091278	6.872164	7.324824	2.727313	2.704874	2.749752	2.730477	65	68	65.546723	81.461714	15538
0.03	DA0941	0.823843	0.816713	0.830973	1.213823	1.203408	1.22442	0.39393	0.378838	0.409023	0.396863	32	34	32.286466	45.963265	18054
0.03	DA0943	0.349398	0.344255	0.354541	2.862069	2.82055	2.904828	1.310231	1.295606	1.324855	1.311149	20	20	20	0	16687
0.03	DA0948	0.662497	0.655195	0.669798	1.509442	1.492987	1.526262	0.63057	0.616516	0.644624	0.633481	27	29.5	27.409254	42.271686	18921
0.03	DA0949	0.377946	0.369084	0.386809	2.645878	2.585256	2.709411	1.404721	1.383021	1.426421	1.408798	24	38	26.920488	91.112081	11347
0.03	DA0954	0.191537	0.187151	0.195923	5.220926	5.104053	5.343277	2.159547	2.139828	2.179266	2.162611	57	58.428571	57.193189	67.563816	16931
0.03	DA0955	0.364705	0.359552	0.369859	2.74194	2.703732	2.781242	1.211155	1.190478	1.231831	1.215057	28	28.428571	28.032985	33.568409	8995
0.03	DA0963	0.11574	0.112877	0.118603	8.640056	8.431484	8.85921	2.853037	2.833266	2.872808	2.856126	85	88.111111	85.610554	100.852849	20093
0.03	DA0977	0.199972	0.19823	0.201715	5.000693	4.9575	5.044646	1.706757	1.694127	1.719388	1.709449	25	26.5	25.180377	37.473897	11896
0.03	DA0978	0.412907	0.401811	0.424004	2.42185	2.358471	2.48873	1.416814	1.384725	1.448904	1.421567	28	38.5	30.03458	82.188088	7665
0.03	DA0980	0.174399	0.169879	0.178919	5.73399	5.589137	5.886551	2.438121	2.413757	2.462484	2.441549	80	81.428571	80.193189	90.563816	15228
0.03	DA0984	0.220783	0.217173	0.224394	4.529329	4.456455	4.604627	1.720706	1.699023	1.74239	1.726288	34	35.666667	34.232004	45.972994	7820
0.03	DA0989	0.088153	0.085461	0.090845	11.343901	11.007738	11.701243	3.139301	3.115746	3.162856	3.145338	125	126.647059	125.283809	134.558544	15019
0.03	DA0991	0.117495	0.114521	0.12047	8.51097	8.300846	8.732009	2.588581	2.570146	2.607017	2.589948	44	45	44.093649	54.678164	14856
0.03	DA0991_R	0.006128	0.005711	0.006544	163.196279	152.816646	175.088676	5.652685	5.625447	5.679924	5.676344	471	486.037037	477.006769	508.642948	5936
0.03	DA0993	0.29649	0.290386	0.302594	3.372794	3.30476	3.443689	1.529799	1.50797	1.551628	1.532621	23	24	23.093649	33.678164	9187
0.03	DA0994	0.255057	0.250379	0.259735	3.920685	3.850071	3.993939	1.948869	1.927021	1.970716	1.952261	66	67	66.12424	74.048964	18438
