OTU	Size	Taxonomy	taxname	phylum
Otu00087	5912	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00087_Lachnospiraceae	Firmicutes
Otu00088	15758	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	Otu00088_Clostridium_sensu_stricto	Firmicutes
Otu00089	3482	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00089_Lachnospiraceae	Firmicutes
Otu00090	1042	Bacteria(100);Acidobacteria(100);Acidobacteria_Gp6(100);Gp6(100);unclassified(100);unclassified(100);	Otu00090_Gp6	Acidobacteria
Otu00091	3189	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00091_Lachnospiraceae	Firmicutes
Otu00092	3066	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);	Otu00092_Butyricicoccus	Firmicutes
Otu00093	16782	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);	Otu00093_Proteus	Proteobacteria
Otu00094	3941	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00094_Lachnospiraceae	Firmicutes
Otu00095	5512	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Clostridium_XI(100);	Otu00095_Clostridium_XI	Firmicutes
Otu00096	4448	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);	Otu00096_Rothia	Actinobacteria
Otu00097	12432	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);	Otu00097_Lactococcus	Firmicutes
Otu00098	12601	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);	Otu00098_Odoribacter	Bacteroidetes
Otu00099	6527	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);	Otu00099_Dorea	Firmicutes
Otu00100	2113	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);	Otu00100_Pseudomonas	Proteobacteria
Otu00101	8164	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00101_Bacteroides	Bacteroidetes
Otu00102	1339	Bacteria(100);Proteobacteria(100);Betaproteobacteria(64);Burkholderiales(64);Comamonadaceae(51);unclassified(100);	Otu00102_Comamonadaceae	Proteobacteria
Otu00103	1719	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00103_Lachnospiraceae	Firmicutes
Otu00104	6496	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);unclassified(100);	Otu00104_Erysipelotrichaceae	Firmicutes
Otu00105	5553	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(52);unclassified(52);	Otu00105_Ruminococcaceae	Firmicutes
Otu00106	2825	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);	Otu00106_Turicibacter	Firmicutes
Otu00107	5562	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(99);	Otu00107_Clostridium_XlVa	Firmicutes
Otu00108	3971	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(95);	Otu00108_Clostridium_XlVa	Firmicutes
Otu00109	9466	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);	Otu00109_Clostridium_IV	Firmicutes
Otu00110	4089	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00110_Ruminococcaceae	Firmicutes
Otu00111	4919	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);	Otu00111_Roseburia	Firmicutes
Otu00112	14078	Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);	Otu00112_Fusobacterium	Fusobacteria
Otu00113	4843	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);	Otu00113_Paraprevotella	Bacteroidetes
Otu00114	2400	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00114_Ruminococcaceae	Firmicutes
Otu00115	4785	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	Otu00115_Clostridium_sensu_stricto	Firmicutes
Otu00116	1666	Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);	Otu00116_Flavobacterium	Bacteroidetes
Otu00117	2110	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00117_Lachnospiraceae	Firmicutes
Otu00118	1265	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);unclassified(96);unclassified(96);	Otu00118_Burkholderiales	Proteobacteria
Otu00119	7945	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);	Otu00119_Oscillibacter	Firmicutes
Otu00120	6462	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);unclassified(100);	Otu00120_Erysipelotrichaceae	Firmicutes
Otu00121	9801	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);	Otu00121_Megasphaera	Firmicutes
Otu00122	199	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);	Otu00122_Veillonella	Firmicutes
Otu00123	1174	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);	Otu00123_Actinomyces	Actinobacteria
Otu00124	6901	Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);	Otu00124_Campylobacter	Proteobacteria
Otu00125	9321	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);	Otu00125_Sutterella	Proteobacteria
Otu00126	1002	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00126_Ruminococcaceae	Firmicutes
Otu00127	6963	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified(100);unclassified(100);	Otu00127_Clostridiales	Firmicutes
Otu00128	13094	Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);	Otu00128_Pyramidobacter	Synergistetes
Otu00129	1433	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);unclassified(82);	Otu00129_Veillonellaceae	Firmicutes
Otu00130	2574	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(99);	Otu00130_Ruminococcaceae	Firmicutes
Otu00131	3041	Bacteria(100);Firmicutes(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);	Otu00131_Firmicutes	Firmicutes
Otu00132	817	Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Mucilaginibacter(80);	Otu00132_Mucilaginibacter	Bacteroidetes
Otu00133	4642	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(100);	Otu00133_Ruminococcaceae	Firmicutes
Otu00134	2455	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);	Otu00134_Dorea	Firmicutes
Otu00135	4232	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);	Otu00135_Ruminococcus	Firmicutes
Otu00136	7248	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified(99);unclassified(99);	Otu00136_Clostridiales	Firmicutes
Otu00137	3324	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(99);unclassified(99);	Otu00137_Lachnospiraceae	Firmicutes
Otu00138	3563	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);	Otu00138_Clostridium_XlVb	Firmicutes
